3.9541 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.2130 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D34B71A20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025D34AD4048>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 180.0], screen=0, size=array([1280,  720]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.2133 	EXP 	window1: mouseVisible = True
9.2134 	EXP 	window1: recordFrameIntervals = False
9.3766 	EXP 	window1: recordFrameIntervals = True
9.7101 	EXP 	window1: recordFrameIntervals = False
10.0583 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1313 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='stimuli/Presentation2.jpg', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.5, 1. ]), texRes=128.0, units='height', win=Window(...))
10.1343 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.1713 	EXP 	Imported 0_001_reward.csv as conditions, 20 conditions, 3 params
10.1717 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
10.1720 	EXP 	New trial (rep=0, index=0): OrderedDict([('correctAns', ['right']), ('correct_reward', 6.7), ('wrong_reward', 0.6)])
10.2406 	EXP 	text_2: autoDraw = False
10.2406 	EXP 	image: autoDraw = True
12.2269 	EXP 	image: autoDraw = False
12.2269 	EXP 	text: text = 'Failed to respond'
12.2269 	EXP 	text: autoDraw = True
13.6900 	EXP 	New trial (rep=0, index=1): OrderedDict([('correctAns', ['right']), ('correct_reward', 7.5), ('wrong_reward', 1.3)])
13.7070 	EXP 	text: autoDraw = False
13.7070 	EXP 	text_2: autoDraw = False
13.7070 	EXP 	image: autoDraw = True
15.7232 	EXP 	image: autoDraw = False
15.7232 	EXP 	text: text = 'Failed to respond'
15.7232 	EXP 	text: autoDraw = True
17.2068 	EXP 	New trial (rep=0, index=2): OrderedDict([('correctAns', ['right']), ('correct_reward', 6.2), ('wrong_reward', 2.0)])
17.2347 	EXP 	text: autoDraw = False
17.2347 	EXP 	text_2: autoDraw = False
17.2347 	EXP 	image: autoDraw = True
19.2499 	EXP 	image: autoDraw = False
19.2499 	EXP 	text: text = 'Failed to respond'
19.2499 	EXP 	text: autoDraw = True
20.7171 	EXP 	New trial (rep=0, index=3): OrderedDict([('correctAns', ['right']), ('correct_reward', 6.2), ('wrong_reward', 1.4)])
20.7335 	EXP 	text: autoDraw = False
20.7335 	EXP 	text_2: autoDraw = False
20.7335 	EXP 	image: autoDraw = True
22.7474 	EXP 	image: autoDraw = False
22.7474 	EXP 	text: text = 'Failed to respond'
22.7474 	EXP 	text: autoDraw = True
24.2453 	EXP 	New trial (rep=0, index=4): OrderedDict([('correctAns', ['right']), ('correct_reward', 5.8), ('wrong_reward', 3.6)])
24.2668 	EXP 	text: autoDraw = False
24.2668 	EXP 	text_2: autoDraw = False
24.2668 	EXP 	image: autoDraw = True
26.2626 	EXP 	image: autoDraw = False
26.2626 	EXP 	text: text = 'Failed to respond'
26.2626 	EXP 	text: autoDraw = True
27.7603 	EXP 	New trial (rep=0, index=5): OrderedDict([('correctAns', ['left']), ('correct_reward', 9.0), ('wrong_reward', 3.3)])
27.7780 	EXP 	text: autoDraw = False
27.7780 	EXP 	text_2: autoDraw = False
27.7780 	EXP 	image: autoDraw = True
29.7924 	EXP 	image: autoDraw = False
29.7924 	EXP 	text: text = 'Failed to respond'
29.7924 	EXP 	text: autoDraw = True
31.2746 	EXP 	New trial (rep=0, index=6): OrderedDict([('correctAns', ['left']), ('correct_reward', 8.2), ('wrong_reward', 1.9)])
31.2923 	EXP 	text: autoDraw = False
31.2923 	EXP 	text_2: autoDraw = False
31.2923 	EXP 	image: autoDraw = True
33.3049 	EXP 	image: autoDraw = False
33.3049 	EXP 	text: text = 'Failed to respond'
33.3049 	EXP 	text: autoDraw = True
34.7873 	EXP 	New trial (rep=0, index=7): OrderedDict([('correctAns', ['left']), ('correct_reward', 7.3), ('wrong_reward', 4.8)])
34.8051 	EXP 	text: autoDraw = False
34.8051 	EXP 	text_2: autoDraw = False
34.8051 	EXP 	image: autoDraw = True
36.8237 	EXP 	image: autoDraw = False
36.8237 	EXP 	text: text = 'Failed to respond'
36.8237 	EXP 	text: autoDraw = True
38.3029 	EXP 	New trial (rep=0, index=8): OrderedDict([('correctAns', ['left']), ('correct_reward', 7.4), ('wrong_reward', 3.7)])
38.3223 	EXP 	text: autoDraw = False
38.3223 	EXP 	text_2: autoDraw = False
38.3223 	EXP 	image: autoDraw = True
38.6293 	DATA 	Keypress: escape
38.7732 	EXP 	window1: mouseVisible = True
