correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,image.started,image.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
['left'],4.9,4.3,0,0,0,0,None,None,0,10.68883180001285,None,,0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['left'],9.0,3.4,0,1,1,1,None,['left'],1,14.172081600001547,None,[1.0973155000247061],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['left'],7.1,1.9,0,2,2,2,None,['left'],1,16.78571250004461,None,[0.8387547999736853],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['left'],5.3,4.8,0,3,3,3,None,['left'],1,19.150012099999003,None,[0.8417628000024706],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['left'],4.2,1.2,0,4,4,4,None,['left'],1,21.53151150001213,None,[1.1082820000010543],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['right'],6.4,1.1,0,5,5,5,None,['right'],1,24.146503299998585,None,[1.3798310999991372],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['right'],8.7,0.7,0,6,6,6,None,['left'],0,27.043643300014082,None,[1.2613098999718204],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['right'],5.4,4.0,0,7,7,7,None,['right'],1,29.807158900017384,None,[1.3646252999897115],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
['right'],5.9,2.9,0,8,8,8,None,['right'],1,32.69028890004847,None,[1.8814363999990746],0,001,2022_Jun_27_1726,exp1,2021.2.3,60.498995698811925,
,,,,,,,None,None,0,36.085218899999745,None,,,,,,,,
