correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,image.started,image.stopped,key_resp.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
['left'],5.3,1.3,0,0,0,0,None,None,0,10.81294659996638,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['left'],8.7,1.5,0,1,1,1,None,None,0,14.294833799998742,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['left'],7.7,2.4,0,2,2,2,None,None,0,17.810161200002767,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['left'],7.5,1.9,0,3,3,3,None,['left'],1,21.3250802999828,None,[0.95189800002845],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['left'],5.5,4.8,0,4,4,4,None,['right'],0,23.803417499992065,None,[0.8944380000466481],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],4.2,0.9,0,5,5,5,None,['left'],0,26.216837499989197,None,[1.136220799991861],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],7.2,1.1,0,6,6,6,None,['right'],1,28.880689100013115,None,[0.6718228000099771],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],6.5,0.7,0,7,7,7,None,None,0,31.07979449996492,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],5.0,1.8,0,8,8,8,None,['left'],0,34.59338759997627,None,[0.8227750000078231],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],6.2,3.4,0,9,9,9,None,['right'],1,36.92663439997705,None,[0.3217371000209823],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],5.5,4.1,0,10,10,10,space,['left'],0,59.27474779996555,None,[1.6259059999720193],20.483311799995136,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],6.8,1.2,0,11,11,11,None,['right'],1,62.40617430000566,None,[0.6558559999684803],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],8.4,2.7,0,12,12,12,None,['right'],1,64.5876336999936,None,[1.6107156000216492],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],4.1,3.6,0,13,13,13,None,['right'],1,67.71912460000021,None,[1.3588313000509515],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],8.1,3.9,0,14,14,14,None,['left'],0,70.59976099996129,None,[0.5567548999679275],,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],6.7,3.9,0,15,15,15,None,None,0,72.68133379996289,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],4.1,4.3,0,16,16,16,None,None,0,76.19500050001079,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],4.6,4.9,0,17,17,17,None,None,0,79.70832460001111,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],8.3,2.7,0,18,18,18,None,None,0,83.22305239998968,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
['right'],5.7,3.1,0,19,19,19,None,None,0,86.73617759998888,None,,,0,001,2022_Jun_27_1726,exp1,2021.2.3,59.939425223140326,
