correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,key_resp.rt,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
['left'],7.0,0.7,0,0,0,0,None,['left'],1,[1.1082260999828577],22.595721299992874,None,23.66415289998986,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],4.0,3.4,0,1,1,1,None,['left'],1,[0.9914471000665799],25.69035679998342,None,26.68916760000866,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],4.8,2.9,0,2,2,2,None,['right'],0,[0.640374599955976],28.719901100033894,None,29.369332000031136,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],6.3,4.8,0,3,3,3,None,['left'],1,[0.37672020005993545],31.368296000058763,None,31.751742199994624,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],4.2,4.7,0,4,4,4,None,['right'],0,[0.4658246000763029],33.76641240005847,None,34.24828040006105,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],4.6,2.8,0,5,5,5,None,['left'],1,[0.3704035000409931],36.27938490000088,None,36.64801470004022,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],8.4,4.6,0,6,6,6,None,['right'],0,[0.041589500033296645],38.678430199972354,None,38.72844790003728,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],7.8,3.2,0,7,7,7,None,['right'],0,[0.4766025000717491],40.76001690002158,None,41.2435673000291,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],6.7,3.9,0,8,8,8,None,['left'],1,[0.07036470004823059],43.27477160003036,None,43.342077400069684,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['left'],5.5,3.4,0,9,9,9,None,['right'],0,[1.538738499977626],45.3568400000222,None,46.92160200001672,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],6.3,0.1,0,10,10,10,space,['left'],0,[1.07833920000121],51.36824980005622,None,52.434593399986625,None,2.415855300030671,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],6.2,3.0,0,11,11,11,None,['right'],1,[0.373888700036332],54.46620220004115,None,54.86555930005852,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],5.1,1.3,0,12,12,12,None,['right'],1,[0.9387228999985382],56.8802840000717,None,57.82970420003403,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],6.3,3.8,0,13,13,13,None,['right'],1,[1.210108199971728],59.87779010005761,None,61.09342900000047,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],7.7,1.1,0,14,14,14,None,['right'],1,[0.1021766000194475],63.09212300006766,None,63.2082822000375,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],6.8,0.6,0,15,15,15,None,['right'],1,[0.366666299989447],65.22406300005969,None,65.59046740003396,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],7.5,3.9,0,16,16,16,None,['right'],1,[0.6495075999991968],67.60522650007624,None,68.27127270004712,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],5.1,3.6,0,17,17,17,None,['right'],1,[0.40370950009673834],70.28603690001182,None,70.70317300001625,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],5.3,5.0,0,18,18,18,None,['right'],1,[0.5084149000467733],72.71773200004827,None,73.25044720002916,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
['right'],4.1,3.4,0,19,19,19,None,['right'],1,[0.5905380999902263],75.28187960002106,None,75.86522190005053,None,,,001,2022_Jul_01_1012,exp1,2021.2.3,60.30792019268167,
