,positive_arm,neutral_arm,correctAns
0,5.644,6.223,['right']
1,7.559,6.259,['right']
2,7.464,6.13,['right']
3,6.645,4.864,['right']
4,6.887,5.916,['right']
5,4.646,6.584,['right']
6,5.217,5.461,['right']
7,7.235,6.647,['right']
8,7.153,5.116,['right']
9,5.644,7.039,['right']
10,6.645,4.646,['right']
11,6.914,4.646,['right']
12,7.039,6.434,['right']
13,6.423,6.259,['right']
14,7.367,7.669,['right']
15,6.914,4.272,['right']
16,7.669,7.104,['right']
17,7.039,7.01,['right']
18,6.647,6.648,['right']
19,7.503,6.259,['right']
20,4.556,4.26,['right']
21,6.191,5.128,['right']
22,4.243,4.438,['right']
23,5.466,3.36,['right']
24,4.256,3.81,['right']
25,4.532,4.63,['right']
26,5.328,4.745,['right']
27,4.387,5.245,['right']
28,4.26,4.63,['right']
29,6.69,4.849,['right']
30,6.919,4.821,['right']
31,6.28,5.584,['right']
32,6.191,4.745,['right']
33,6.407,4.821,['right']
34,6.407,4.578,['right']
35,4.243,3.36,['right']
36,5.128,4.103,['right']
37,5.2,4.578,['right']
38,5.328,4.745,['right']
39,4.63,4.438,['right']
40,3.938,4.918,['right']
41,5.2,4.821,['right']
42,5.508,4.918,['right']
43,4.243,4.251,['right']
44,5.2,4.63,['right']
45,4.103,4.322,['right']
46,6.034,4.256,['right']
47,4.251,5.158,['right']
48,6.191,5.128,['right']
49,6.163,4.256,['right']
50,6.033,4.586,['right']
51,6.191,4.322,['right']
52,5.205,6.69,['right']
53,4.532,4.26,['right']
54,5.466,4.243,['right']
55,6.033,6.506,['right']
56,4.243,5.128,['right']
57,5.466,4.438,['right']
58,4.322,4.63,['right']
59,4.322,6.69,['right']
60,5.688,6.034,['right']
61,5.188,4.745,['right']
62,3.938,4.243,['right']
63,4.243,6.034,['right']
64,6.034,4.918,['right']
65,6.919,4.556,['right']
66,6.407,6.033,['right']
67,4.387,4.849,['right']
68,4.63,4.849,['right']
69,6.506,5.328,['right']
70,6.092,4.586,['right']
71,6.477,3.36,['right']
72,6.092,5.432,['right']
73,4.532,5.2,['right']
74,4.26,4.849,['right']
75,5.205,5.432,['right']
76,5.466,4.745,['right']
77,5.508,6.477,['right']
78,5.4,3.81,['right']
79,5.245,4.745,['right']
80,7.51,3.263,['right']
81,6.584,5.943,['right']
82,6.847,4.772,['right']
83,7.385,3.003,['right']
84,7.516,4.43,['right']
85,5.293,3.011,['right']
86,5.973,5.293,['right']
87,3.263,2.839,['right']
88,7.298,5.234,['right']
89,7.587,3.483,['right']
90,6.147,7.094,['right']
91,6.271,2.839,['right']
92,7.516,5.283,['right']
93,3.519,6.847,['right']
94,7.516,7.915,['right']
95,7.424,3.369,['right']
96,6.368,2.627,['right']
