index,itemText,type,options,layout,responseWidth
1,I feel calm,radio,"1,2,3,4",horiz,0.25
2,I feel secured,radio,"1,2,3,4",horiz,0.25
3,I am tense,radio,"1,2,3,4",horiz,0.25
4,I feel strained,radio,"1,2,3,4",horiz,0.25
5,I feel at ease,radio,"1,2,3,4",horiz,0.25
6,I feel upset,radio,"1,2,3,4",horiz,0.25
7,I am presently worrying over possible misfortunes,radio,"1,2,3,4",horiz,0.25
8,I feel satisfied,radio,"1,2,3,4",horiz,0.25
9,I feel frightened,radio,"1,2,3,4",horiz,0.25
10,I feel comfortable,radio,"1,2,3,4",horiz,0.25
11,I feel self-confident,radio,"1,2,3,4",horiz,0.25
12,I feel nervous,radio,"1,2,3,4",horiz,0.25
13,I am jittery,radio,"1,2,3,4",horiz,0.25
14,I feel indecisive ,radio,"1,2,3,4",horiz,0.25
15,I am relaxed,radio,"1,2,3,4",horiz,0.25
16,I feel content,radio,"1,2,3,4",horiz,0.25
17,I am worried,radio,"1,2,3,4",horiz,0.25
18,I feel confused,radio,"1,2,3,4",horiz,0.25
19,I feel steady,radio,"1,2,3,4",horiz,0.25
20,I feel pleasant,radio,"1,2,3,4",horiz,0.25
